종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"150840","인트로메딕","KOSDAQ","의료·정밀기기","5850","0","0.00","251537720850"
"048530","인트론바이오","KOSDAQ","제약","5440","-110","-1.98","185780145280"
"115310","인포바인","KOSDAQ","기타서비스","19960","-20","-0.10","63729944680"
"039290","인포뱅크","KOSDAQ","기타서비스","6840","-220","-3.12","59466809520"
"071200","인피니트헬스케어","KOSDAQ","출판·매체복제","4500","-110","-2.39","109784061000"
"101930","인화정공","KOSDAQ","운송장비·부품","27900","400","1.45","268278950700"
"333430","일승","KOSDAQ","운송장비·부품","4330","85","2.00","133046814510"
"068330","일신바이오","KOSDAQ","기계·장비","1105","-18","-1.60","48858834700"
"178780","일월지엠엘","KOSDAQ","유통","8650","0","0.00","124120536750"
"019540","일지테크","KOSDAQ","운송장비·부품","3780","-100","-2.58","51081030000"
"094820","일진파워","KOSDAQ","건설","9320","-380","-3.92","140533567880"
"950140","잉글우드랩","KOSDAQ","화학","7150","-320","-4.28","142055241900"
"049550","잉크테크","KOSDAQ","화학","3765","-10","-0.26","73817632905"
"389020","자람테크놀로지","KOSDAQ","일반전기전자","39950","6600","19.79","247599313500"
"254120","자비스","KOSDAQ","기계·장비","1418","-53","-3.60","43609554860"
"043910","자연과환경","KOSDAQ","비금속","610","-7","-1.13","69168788770"
"234920","자이글","KOSDAQ","일반전기전자","5440","190","3.62","73608150400"
"289220","자이언트스텝","KOSDAQ","오락·문화","6300","30","0.48","139366993500"
"174880","장원테크","KOSDAQ","일반전기전자","2650","0","0.00","11610352250"
"049630","재영솔루텍","KOSDAQ","의료·정밀기기","643","-14","-2.13","53798850001"
"417840","저스템","KOSDAQ","기계·장비","5890","-350","-5.61","42697640750"
"110020","전진바이오팜","KOSDAQ","화학","2600","80","3.17","23552781200"
"208140","정다운","KOSDAQ","음식료·담배","2785","-10","-0.36","91025625110"
"040420","정상제이엘에스","KOSDAQ","기타서비스","6590","-20","-0.30","103315067680"
"045510","정원엔시스","KOSDAQ","유통","799","-1","-0.13","25735224308"
"217190","제너셈","KOSDAQ","기계·장비","7080","-420","-5.60","62085751920"
"095700","제넥신","KOSDAQ","기타서비스","5840","-210","-3.47","265956484960"
"072520","제넨바이오","KOSDAQ","유통","389","0","0.00","28849482466"
"122310","제노레이","KOSDAQ","의료·정밀기기","5670","-60","-1.05","82520295480"
"361390","제노코","KOSDAQ","일반전기전자","15710","-240","-1.50","117837395190"
"187420","제노포커스","KOSDAQ","제약","4050","-165","-3.91","97234202250"
"225220","제놀루션","KOSDAQ","제약","2240","-105","-4.48","42985647040"
"123330","제닉","KOSDAQ","화학","15810","-1390","-8.08","125984830800"
"381620","제닉스","KOSDAQ","기계·장비","25750","1350","5.53","112595480000"
"159580","제로투세븐","KOSDAQ","유통","4205","-75","-1.75","84237234380"
"147830","제룡산업","KOSDAQ","금속","5140","-320","-5.86","102800000000"
"033100","제룡전기","KOSDAQ","일반전기전자","41100","-1850","-4.31","660165009900"
"079370","제우스","KOSDAQ","기계·장비","10990","-230","-2.05","340876720100"
"054950","제이브이엠","KOSDAQ","기계·장비","18340","-480","-2.55","221728619280"
"023440","제이스코홀딩스","KOSDAQ","금속","1790","-9","-0.50","106183553590"
"090470","제이스텍","KOSDAQ","기계·장비","4870","0","0.00","85111012780"
"137950","제이씨케미칼","KOSDAQ","화학","4035","-95","-2.30","89850629490"
"033320","제이씨현시스템","KOSDAQ","유통","5050","40","0.80","96527881600"
"417500","제이아이테크","KOSDAQ","화학","2880","-60","-2.04","94420062720"
"204270","제이앤티씨","KOSDAQ","일반전기전자","22450","450","2.05","1298698061700"
"026040","제이에스티나","KOSDAQ","기타제조","1928","41","2.17","31819307120"
"452160","제이엔비","KOSDAQ","기계·장비","4900","-150","-2.97","47125882300"
"126880","제이엔케이글로벌","KOSDAQ","기계·장비","3295","-30","-0.90","76460155385"
"322510","제이엘케이","KOSDAQ","출판·매체복제","8000","0","0.00","204231136000"
"033050","제이엠아이","KOSDAQ","화학","885","-13","-1.45","28832717670"
"094970","제이엠티","KOSDAQ","일반전기전자","2785","-120","-4.13","46643848400"
"418550","제이오","KOSDAQ","기타서비스","15970","-490","-2.98","507403199810"
"420570","제이투케이바이오","KOSDAQ","화학","9340","-490","-4.98","53544417380"
"089790","제이티","KOSDAQ","기계·장비","3460","-150","-4.16","35691674980"
"052670","제일바이오","KOSDAQ","제약","2080","0","0.00","60588453120"
"412540","제일엠앤에스","KOSDAQ","기계·장비","7760","-360","-4.43","159861160400"
"199820","제일일렉트릭","KOSDAQ","일반전기전자","9480","-290","-2.97","210645600000"
"038010","제일테크노스","KOSDAQ","금속","6200","-250","-3.88","55800000000"
"276730","제주맥주","KOSDAQ","음식료·담배","3250","115","3.67","38631466250"
"080220","제주반도체","KOSDAQ","일반전기전자","8790","-280","-3.09","302752502070"
"216080","제테마","KOSDAQ","제약","19490","-510","-2.55","348720127910"
"229000","젠큐릭스","KOSDAQ","제약","1737","-43","-2.42","26478836685"
"082270","젬백스","KOSDAQ","기계·장비","19500","580","3.07","779886393000"
"044060","조광ILI","KOSDAQ","기계·장비","732","0","0.00","70075958688"
"034940","조아제약","KOSDAQ","제약","916","-5","-0.54","28377521532"
"067000","조이시티","KOSDAQ","출판·매체복제","1508","26","1.75","105414396568"
"033340","좋은사람들","KOSDAQ","섬유·의류","684","0","0.00","66314181672"
"036930","주성엔지니어링","KOSDAQ","기계·장비","27900","-1050","-3.63","1318786155900"
"072020","중앙백신","KOSDAQ","제약","9920","-130","-1.29","95814175040"
